run_name,model_type,train_data,from_weight,hidden_size,num_layers,max_seq_len,batch_size,learning_rate,epochs,eval_set,prediction_csv,score_log,exact_dsl_match,fenced_code_format,python_parse_ok,fire_dsl_executable,format_error_rows,parse_error_rows,execution_error_rows,notes
fire_dsl_baseline_e3,full_sft,fire_operator_dsl_sft_code.jsonl,none,128,2,512,2,3e-4,3,public,results/fire_dsl_baseline_e3_public_predictions.csv,logs/fire_dsl_baseline_e3_public_score.log,13.40,35.70,29.40,21.60,1286,1412,1568,baseline SFT 3 epochs
fire_dsl_baseline_e3,full_sft,fire_operator_dsl_sft_code.jsonl,none,128,2,512,2,3e-4,3,generalization,results/fire_dsl_baseline_e3_generalization_predictions.csv,logs/fire_dsl_baseline_e3_generalization_score.log,0.00,65.17,51.33,26.17,209,292,443,baseline SFT 3 epochs
fire_dsl_baseline_old,full_sft,fire_operator_dsl_sft_code.jsonl,none,128,2,512,2,unknown,unknown,generalization,results/fire_dsl_baseline_old_generalization_predictions.csv,logs/fire_dsl_baseline_old_generalization_score.log,0.00,73.83,57.50,28.50,157,255,429,old smoke-test weight; train log was not saved
fire_dsl_baseline_old,full_sft,fire_operator_dsl_sft_code.jsonl,none,128,2,512,2,unknown,unknown,public,results/fire_dsl_baseline_old_public_predictions.csv,logs/fire_dsl_baseline_old_public_score.log,2.20,41.50,36.15,12.60,1170,1277,1748,old smoke-test weight; train log was not saved
fire_dsl_baseline_old,full_sft,fire_operator_dsl_sft_code.jsonl,none,128,2,512,2,unknown,unknown,public,results/fire_dsl_baseline_old_public_predictions.csv,logs/fire_dsl_baseline_old_public_score.log,2.40,41.75,37.30,12.30,1165,1254,1754,old smoke-test weight; train log was not saved
fire_dsl_domain_sft,domain_pretrain_plus_sft,fire_operator_dsl_sft_code.jsonl,fire_dsl_domain_pretrain,128,2,512,2,3e-4,3,generalization,results/fire_dsl_domain_sft_generalization_predictions.csv,logs/fire_dsl_domain_sft_generalization_score.log,0.00,90.83,55.67,35.67,55,266,386,domain pretrain 2 epochs then SFT 3 epochs
fire_dsl_domain_sft,domain_pretrain_plus_sft,fire_operator_dsl_sft_code.jsonl,fire_dsl_domain_pretrain,128,2,512,2,3e-4,3,public,results/fire_dsl_domain_sft_public_predictions.csv,logs/fire_dsl_domain_sft_public_score.log,19.05,90.20,64.65,45.70,196,707,1086,domain pretrain 2 epochs then SFT 3 epochs
fire_dsl_domain_sft_t001,domain_pretrain_plus_sft,fire_operator_dsl_sft_code.jsonl,fire_dsl_domain_pretrain,128,2,512,2,3e-4,3,generalization,results/fire_dsl_domain_sft_t001_generalization_predictions.csv,logs/fire_dsl_domain_sft_t001_generalization_score.log,0.00,91.83,55.67,37.17,49,266,377,domain_sft inference temperature 0.01
fire_dsl_domain_256_l4,domain_pretrain_plus_sft,fire_operator_dsl_sft_code.jsonl,fire_dsl_domain_256_l4_pretrain,256,4,512,1,3e-4,3,public,results/fire_dsl_domain_256_l4_public_predictions.csv,logs/fire_dsl_domain_256_l4_public_score.log,39.30,60.85,50.05,44.35,783,999,1113,domain_pretrain_sft auto pipeline
fire_dsl_domain_256_l4,domain_pretrain_plus_sft,fire_operator_dsl_sft_code.jsonl,fire_dsl_domain_256_l4_pretrain,256,4,512,1,3e-4,3,generalization,results/fire_dsl_domain_256_l4_generalization_predictions.csv,logs/fire_dsl_domain_256_l4_generalization_score.log,0.33,68.67,43.50,25.83,188,339,445,domain_pretrain_sft auto pipeline
fire_dsl_domain_sft_t001_norm,domain_pretrain_plus_sft_postprocess,fire_operator_dsl_sft_code.jsonl,fire_dsl_domain_pretrain,128,2,512,2,3e-4,3,generalization,results/fire_dsl_domain_sft_t001_norm_generalization_predictions.csv,logs/fire_dsl_domain_sft_t001_norm_generalization_score.log,0.00,100.00,56.17,37.17,0,263,377,domain_sft temperature 0.01 plus output normalization
fire_dsl_domain_sft_t001_norm,domain_pretrain_plus_sft_postprocess,fire_operator_dsl_sft_code.jsonl,fire_dsl_domain_pretrain,128,2,512,2,3e-4,3,generalization,results/fire_dsl_domain_sft_t001_norm_generalization_predictions.csv,logs/fire_dsl_domain_sft_t001_norm_generalization_score.log,0.00,100.00,56.17,37.17,0,263,377,domain_sft temperature 0.01 plus output normalization
fire_dsl_domain_sft_rerank5_t02,domain_pretrain_plus_sft_verifier_rerank,fire_operator_dsl_sft_code.jsonl,fire_dsl_domain_pretrain,128,2,512,2,3e-4,3,generalization,results/fire_dsl_domain_sft_rerank5_t02_generalization_predictions.csv,logs/fire_dsl_domain_sft_rerank5_t02_generalization_score.log,0.00,100.00,76.33,52.50,0,142,285,"5 candidates at temperature 0.2, select by parse/executable verifier"
